state,x,y
Andhra Pradesh,-68,-177
Arunachal Pradesh ,246,116
Assam,239,79
Bihar,65,63
Chhattisgarh,-23,-32
Goa,-178,-171
Gujarat,-236,-8
Haryana,-124,132
Himachal Pradesh,-82,199
Jharkhand,47,18
Karnataka,-140,-182
Kerala,-137,-251
Madhya Pradesh,-99,19
Maharashtra,-147,-90
Manipur,215,-7
Meghalaya,189,7
Mizoram,240,29
Nagaland,245,66
Odisha,20,-56
Punjab,-136,167
Rajasthan,-199,100
Sikkim,125,98
Tamil Nadu,-77,-271
Telangana,-75,-105
Tripura,213,-7
Uttar Pradesh,-52,88
Uttarakhand,-68,169
West Bengal,113,-2
Andaman and Nicobar Islands,212,-232
Chandigarh,-115,158
Dadra and Nagar Haveli,-185,-65
Daman and Diu,-191,-45
Jammu and Kashmir,-116,259
Lakshadweep,-211,-245
New Delhi,-107,119
Puducherry,-53,-240
